order,list,item,cond,target_position,prepositions,order_of_mention,target_number,comp_number,context,firstDisplay,secondDisplay,expTrials,pair_ID,comp_unique_ID1,animacy_cong,target_gender,comp1_animacy,target,competitor,recordingName
29,1,X13,9,,,1,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N,,,,,,is,baker,N_List1_Order29_Item_X13_Cond9
29,2,X13,9,,,1,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N,,,,,,is,baker,N_List2_Order29_Item_X13_Cond9
29,3,X13,9,,,1,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N,,,,,,is,baker,N_List3_Order29_Item_X13_Cond9
29,4,X13,9,,,1,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N,,,,,,is,baker,N_List4_Order29_Item_X13_Cond9
30,1,5,1,6,below,1,plural,singular,The secretaries are below the sword and they are on Number 6.,E05_1_1.jpg,E05_1_2.jpg,Y,13,4,different,fem,inanimate,secretary,sword,Y_List1_Order30_Item_5_Cond1
30,2,5,3,6,below,1,plural,plural,The secretaries are below the swords and they are on Number 6.,E05_3_1.jpg,E05_3_2.jpg,Y,13,4,different,fem,inanimate,secretary,swords,Y_List2_Order30_Item_5_Cond3
30,3,5,2,6,below,1,plural,singular,The secretaries are below the knight and they are on Number 6.,E05_2_1.jpg,E05_2_2.jpg,Y,15,4,same,fem,animate,secretary,knight,Y_List3_Order30_Item_5_Cond2
30,4,5,4,6,below,1,plural,plural,The secretaries are below the knights and they are on Number 6.,E05_4_1.jpg,E05_4_2.jpg,Y,15,4,same,fem,animate,secretary,knights,Y_List4_Order30_Item_5_Cond4
31,1,X32,9,,,1,plural,singular,There are some cherries and they are on the same row as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N,,,,,,are,cherries,N_List1_Order31_Item_X32_Cond9
31,2,X32,9,,,1,plural,singular,There are some cherries and they are on the same row as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N,,,,,,are,cherries,N_List2_Order31_Item_X32_Cond9
31,3,X32,9,,,1,plural,singular,There are some cherries and they are on the same row as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N,,,,,,are,cherries,N_List3_Order31_Item_X32_Cond9
31,4,X32,9,,,1,plural,singular,There are some cherries and they are on the same row as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N,,,,,,are,cherries,N_List4_Order31_Item_X32_Cond9
32,1,X24,9,,,1,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N,,,,,,cat,,N_List1_Order32_Item_X24_Cond9
32,2,X24,9,,,1,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N,,,,,,cat,,N_List2_Order32_Item_X24_Cond9
32,3,X24,9,,,1,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N,,,,,,cat,,N_List3_Order32_Item_X24_Cond9
32,4,X24,9,,,1,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N,,,,,,cat,,N_List4_Order32_Item_X24_Cond9
33,1,40,4,3,next-to,1,plural,plural,The grooms are next to the hairdressers and they are on Number 3.,E40_4_1.jpg,E40_4_2.jpg,Y,35,9,same,masc,animate,groom,hairdressers,Y_List1_Order33_Item_40_Cond4
33,2,40,2,3,next-to,1,plural,singular,The grooms are next to the hairdresser and they are on Number 3.,E40_2_1.jpg,E40_2_2.jpg,Y,35,9,same,masc,animate,groom,hairdresser,Y_List2_Order33_Item_40_Cond2
33,3,40,1,3,next-to,1,plural,singular,The grooms are next to the hairdryer and they are on Number 3.,E40_1_1.jpg,E40_1_2.jpg,Y,36,9,different,masc,inanimate,groom,hairdryer,Y_List3_Order33_Item_40_Cond1
33,4,40,3,3,next-to,1,plural,plural,The grooms are next to the hairdryers and they are on Number 3.,E40_3_1.jpg,E40_3_2.jpg,Y,36,9,different,masc,inanimate,groom,hairdryers,Y_List4_Order33_Item_40_Cond3
